FULL TEXT PREPROCESSING — MANAJEMEN ENERGI  |  Information Retrieval Pipeline,,,,,,,,
DocID,Teks Mentah (Raw Text),Case Folding & Cleaning,Tokenisasi,Stop-word Removal,Stemming – Hasil Akhir,Forward Index (Term: Freq),"Jumlah
Unique Terms","Jumlah
Token Awal"
Doc 15,Kegiatan ini berupa praktik audit dan manajemen energi berbasis IoT yang bertujuan untuk menyebarkan hasil penelitian kepada masyarakat sebagai upaya terlaksana program konservasi energi dan memberikan kesadaran masyarakat untuk berprilaku hemat energi.,kegiatan ini berupa praktik audit dan manajemen energi berbasis iot yang bertujuan untuk menyebarkan hasil penelitian kepada masyarakat sebagai upaya terlaksana program konservasi energi dan memberikan kesadaran masyarakat untuk berprilaku hemat energi,"[kegiatan, ini, berupa, praktik, audit, dan, manajemen, energi, berbasis, iot, yang, bertujuan, untuk, menyebarkan, hasil, penelitian, kepada, masyarakat, sebagai, upaya, terlaksana, program, konservasi, energi, dan, memberikan, kesadaran, masyarakat, untuk, berprilaku, hemat, energi]","[kegiatan, praktik, audit, manajemen, energi, berbasis, menyebarkan, hasil, penelitian, masyarakat, program, konservasi, energi, memberikan, kesadaran, masyarakat, berprilaku, hemat, energi]","[kegiat, praktik, audit, manajemen, energi, basis, sebar, hasil, peneliti, masyarakat, program, konservasi, energi, beri, sadar, masyarakat, laku, hemat, energi]","energi:3, masyarakat:2, audit:1, basis:1, beri:1, hasil:1, hemat:1, kegiat:1, konservasi:1, laku:1, manajemen:1, peneliti:1, praktik:1, program:1, sadar:1, sebar:1",16,32
Doc 16,Pada penelitian yang telah dilakukan mengenai pemanfaatan teknologi IoT dalam rangka audit energi dan manajemen energi listrik menghasilkan sebuah prototipe yang dapat mengukur besarnya konsumsi energi listrik.,pada penelitian yang telah dilakukan mengenai pemanfaatan teknologi iot dalam rangka audit energi dan manajemen energi listrik menghasilkan sebuah prototipe yang dapat mengukur besarnya konsumsi energi listrik,"[pada, penelitian, yang, telah, dilakukan, mengenai, pemanfaatan, teknologi, iot, dalam, rangka, audit, energi, dan, manajemen, energi, listrik, menghasilkan, sebuah, prototipe, yang, dapat, mengukur, besarnya, konsumsi, energi, listrik]","[penelitian, pemanfaatan, teknologi, rangka, audit, energi, manajemen, energi, listrik, menghasilkan, prototipe, mengukur, besarnya, konsumsi, energi, listrik]","[peneliti, manfaat, teknologi, rangka, audit, energi, manajemen, energi, listrik, hasil, prototipe, ukur, besar, konsumsi, energi, listrik]","energi:3, listrik:2, audit:1, besar:1, hasil:1, konsumsi:1, manajemen:1, manfaat:1, peneliti:1, prototipe:1, rangka:1, teknologi:1, ukur:1",13,27
Doc 17,"Jika ditemukan adanya indikasi pemborosan atau tidak sesuai dengan standar, maka tindakan manajemen energi perlu dilakukan oleh siapa saja yang memiliki pengetahuan dasar dibidang teknik elektro.",jika ditemukan adanya indikasi pemborosan atau tidak sesuai dengan standar maka tindakan manajemen energi perlu dilakukan oleh siapa saja yang memiliki pengetahuan dasar dibidang teknik elektro,"[jika, ditemukan, adanya, indikasi, pemborosan, atau, tidak, sesuai, dengan, standar, maka, tindakan, manajemen, energi, perlu, dilakukan, oleh, siapa, saja, yang, memiliki, pengetahuan, dasar, dibidang, teknik, elektro]","[adanya, indikasi, pemborosan, standar, manajemen, energi, perlu, pengetahuan, dasar, dibidang, elektro]","[adanya, indikasi, boros, standar, manajemen, energi, perlu, tahu, dasar, dibidang, elektro]","adanya:1, boros:1, dasar:1, dibidang:1, elektro:1, energi:1, indikasi:1, manajemen:1, perlu:1, standar:1, tahu:1",11,26
Doc 18,Edukasi dalam bentuk praktik langsung merupakan hal yang paling tepat agar masyarakat dapat mengetahui tentang audit dan manajemen energi ini.,edukasi dalam bentuk praktik langsung merupakan hal yang paling tepat agar masyarakat dapat mengetahui tentang audit dan manajemen energi ini,"[edukasi, dalam, bentuk, praktik, langsung, merupakan, hal, yang, paling, tepat, agar, masyarakat, dapat, mengetahui, tentang, audit, dan, manajemen, energi, ini]","[edukasi, praktik, langsung, tepat, masyarakat, mengetahui, audit, manajemen, energi]","[edukasi, praktik, langsung, tepat, masyarakat, tahu, audit, manajemen, energi]","audit:1, edukasi:1, energi:1, langsung:1, manajemen:1, masyarakat:1, praktik:1, tahu:1, tepat:1",9,20
Doc 19,Analisis pada pretest didapatkan kemampuan awal peserta pelatihan tergolong kurang terutama pada poin audit energi dan manajemen energi.,analisis pada pretest didapatkan kemampuan awal peserta pelatihan tergolong kurang terutama pada poin audit energi dan manajemen energi,"[analisis, pada, pretest, didapatkan, kemampuan, awal, peserta, pelatihan, tergolong, kurang, terutama, pada, poin, audit, energi, dan, manajemen, energi]","[analisis, pretest, kemampuan, awal, peserta, pelatihan, kurang, terutama, poin, audit, energi, manajemen, energi]","[analisis, pretest, mampu, awal, peserta, latih, kurang, terutama, poin, audit, energi, manajemen, energi]","energi:2, analisis:1, audit:1, awal:1, kurang:1, latih:1, mampu:1, manajemen:1, peserta:1, poin:1, pretest:1, terutama:1",12,18
Doc 20,Pelatihan ini berupa praktik langsung untuk mengetahui konsumsi energi pada SMK N 2 Bandar Lampung. Kemampuan awal peserta masih kurang terutama pada poin audit dan manajemen energi.,pelatihan ini berupa praktik langsung untuk mengetahui konsumsi energi pada smk n bandar lampung kemampuan awal peserta masih kurang terutama pada poin audit dan manajemen energi,"[pelatihan, ini, berupa, praktik, langsung, untuk, mengetahui, konsumsi, energi, pada, smk, n, bandar, lampung, kemampuan, awal, peserta, masih, kurang, terutama, pada, poin, audit, dan, manajemen, energi]","[pelatihan, praktik, langsung, mengetahui, konsumsi, energi, kemampuan, awal, peserta, kurang, terutama, poin, audit, manajemen, energi]","[latih, praktik, langsung, tahu, konsumsi, energi, mampu, awal, peserta, kurang, terutama, poin, audit, manajemen, energi]","energi:2, audit:1, awal:1, konsumsi:1, kurang:1, langsung:1, latih:1, mampu:1, manajemen:1, peserta:1, poin:1, praktik:1, tahu:1, terutama:1",14,26
Doc 21,"Setelah dilaksanakan pretest, kegiatan selanjutnya pemaparan materi audit dan manajemen energi oleh Tim Pengabdian.",setelah dilaksanakan pretest kegiatan selanjutnya pemaparan materi audit dan manajemen energi oleh tim pengabdian,"[setelah, dilaksanakan, pretest, kegiatan, selanjutnya, pemaparan, materi, audit, dan, manajemen, energi, oleh, tim, pengabdian]","[pretest, kegiatan, pemaparan, audit, manajemen, energi]","[pretest, kegiat, papar, audit, manajemen, energi]","audit:1, energi:1, kegiat:1, manajemen:1, papar:1, pretest:1",6,14
Doc 22,Selanjutnya dilaksanakan praktik audit dan manajemen energi yang langsung dilakukan oleh peserta pelatihan.,selanjutnya dilaksanakan praktik audit dan manajemen energi yang langsung dilakukan oleh peserta pelatihan,"[selanjutnya, dilaksanakan, praktik, audit, dan, manajemen, energi, yang, langsung, dilakukan, oleh, peserta, pelatihan]","[praktik, audit, manajemen, energi, langsung, peserta, pelatihan]","[praktik, audit, manajemen, energi, langsung, peserta, latih]","audit:1, energi:1, langsung:1, latih:1, manajemen:1, peserta:1, praktik:1",7,13
Doc 23,Hasil audit energi ini dapat langsung dicetak dan digunakan sebagai referensi dalam memberikan rekomendasi untuk keperluan manajemen energi.,hasil audit energi ini dapat langsung dicetak dan digunakan sebagai referensi dalam memberikan rekomendasi untuk keperluan manajemen energi,"[hasil, audit, energi, ini, dapat, langsung, dicetak, dan, digunakan, sebagai, referensi, dalam, memberikan, rekomendasi, untuk, keperluan, manajemen, energi]","[hasil, audit, energi, langsung, dicetak, memberikan, rekomendasi, manajemen, energi]","[hasil, audit, energi, langsung, dicetak, beri, rekomendasi, manajemen, energi]","energi:2, audit:1, beri:1, dicetak:1, hasil:1, langsung:1, manajemen:1, rekomendasi:1",8,18
Doc 24,Kegiatan ini dapat meningkatkan kemampuan peserta dalam melakukan audit dan manajemen energi dari yang kurang menjadi lebih baik.,kegiatan ini dapat meningkatkan kemampuan peserta dalam melakukan audit dan manajemen energi dari yang kurang menjadi lebih baik,"[kegiatan, ini, dapat, meningkatkan, kemampuan, peserta, dalam, melakukan, audit, dan, manajemen, energi, dari, yang, kurang, menjadi, lebih, baik]","[kegiatan, meningkatkan, kemampuan, peserta, melakukan, audit, manajemen, energi, kurang]","[kegiat, tingkat, mampu, peserta, melaku, audit, manajemen, energi, kurang]","audit:1, energi:1, kegiat:1, kurang:1, mampu:1, manajemen:1, melaku:1, peserta:1, tingkat:1",9,18
Doc 25,Dari pelaksanaan kegiatan pelatihan aplikasi teknologi Internet of Things untuk audit dan manajemen energi bagi siswa SMK dalam rangka konservasi dan efisiensi energi didapatkan kesimpulan.,dari pelaksanaan kegiatan pelatihan aplikasi teknologi internet of things untuk audit dan manajemen energi bagi siswa smk dalam rangka konservasi dan efisiensi energi didapatkan kesimpulan,"[dari, pelaksanaan, kegiatan, pelatihan, aplikasi, teknologi, internet, of, things, untuk, audit, dan, manajemen, energi, bagi, siswa, smk, dalam, rangka, konservasi, dan, efisiensi, energi, didapatkan, kesimpulan]","[pelaksanaan, kegiatan, pelatihan, aplikasi, teknologi, audit, manajemen, energi, siswa, rangka, konservasi, efisiensi, energi, kesimpulan]","[laksana, kegiat, latih, aplikasi, teknologi, audit, manajemen, energi, siswa, rangka, konservasi, efisiensi, energi, simpul]","energi:2, aplikasi:1, audit:1, efisiensi:1, kegiat:1, konservasi:1, laksana:1, latih:1, manajemen:1, rangka:1, simpul:1, siswa:1, teknologi:1",13,25
Doc 26,Berdasarkan hasil evaluasi yang dilakukan diketahui bahwa peserta memiliki pengetahuan baru yang berhubungan dengan teknologi audit dan manajemen energi.,berdasarkan hasil evaluasi yang dilakukan diketahui bahwa peserta memiliki pengetahuan baru yang berhubungan dengan teknologi audit dan manajemen energi,"[berdasarkan, hasil, evaluasi, yang, dilakukan, diketahui, bahwa, peserta, memiliki, pengetahuan, baru, yang, berhubungan, dengan, teknologi, audit, dan, manajemen, energi]","[hasil, evaluasi, peserta, pengetahuan, teknologi, audit, manajemen, energi]","[hasil, evaluasi, peserta, tahu, teknologi, audit, manajemen, energi]","audit:1, energi:1, evaluasi:1, hasil:1, manajemen:1, peserta:1, tahu:1, teknologi:1",8,19
Doc 27,Penelitian ini bertujuan untuk mengkaji peran manajemen energi dalam meningkatkan efisiensi konsumsi listrik di sektor rumah tangga melalui pendekatan studi literatur.,penelitian ini bertujuan untuk mengkaji peran manajemen energi dalam meningkatkan efisiensi konsumsi listrik di sektor rumah tangga melalui pendekatan studi literatur,"[penelitian, ini, bertujuan, untuk, mengkaji, peran, manajemen, energi, dalam, meningkatkan, efisiensi, konsumsi, listrik, di, sektor, rumah, tangga, melalui, pendekatan, studi, literatur]","[penelitian, peran, manajemen, energi, meningkatkan, efisiensi, konsumsi, listrik, sektor, rumah, tangga, pendekatan, studi, literatur]","[peneliti, peran, manajemen, energi, tingkat, efisiensi, konsumsi, listrik, sektor, rumah, tangga, pendekat, studi, literatur]","efisiensi:1, energi:1, konsumsi:1, listrik:1, literatur:1, manajemen:1, pendekat:1, peneliti:1, peran:1, rumah:1, sektor:1, studi:1, tangga:1, tingkat:1",14,21
Doc 28,"Penerapan manajemen energi melalui edukasi literasi energi, pemanfaatan peralatan hemat energi, penerapan teknologi rumah pintar, sistem tarif berbasis waktu, serta integrasi energi terbarukan seperti panel surya atap terbukti mampu menekan pemborosan energi secara signifikan.",penerapan manajemen energi melalui edukasi literasi energi pemanfaatan peralatan hemat energi penerapan teknologi rumah pintar sistem tarif berbasis waktu serta integrasi energi terbarukan seperti panel surya atap terbukti mampu menekan pemborosan energi secara signifikan,"[penerapan, manajemen, energi, melalui, edukasi, literasi, energi, pemanfaatan, peralatan, hemat, energi, penerapan, teknologi, rumah, pintar, sistem, tarif, berbasis, waktu, serta, integrasi, energi, terbarukan, seperti, panel, surya, atap, terbukti, mampu, menekan, pemborosan, energi, secara, signifikan]","[penerapan, manajemen, energi, edukasi, literasi, energi, pemanfaatan, peralatan, hemat, energi, penerapan, teknologi, rumah, pintar, sistem, tarif, berbasis, waktu, integrasi, energi, terbarukan, panel, surya, atap, terbukti, mampu, menekan, pemborosan, energi, signifikan]","[terap, manajemen, energi, edukasi, literasi, energi, manfaat, alat, hemat, energi, terap, teknologi, rumah, pintar, sistem, tarif, basis, waktu, integrasi, energi, terbarukan, panel, surya, atap, bukti, mampu, tekan, boros, energi, signifikan]","energi:5, terap:2, alat:1, atap:1, basis:1, boros:1, bukti:1, edukasi:1, hemat:1, integrasi:1, literasi:1, mampu:1, manajemen:1, manfaat:1, panel:1, pintar:1, rumah:1, signifikan:1, sistem:1, surya:1, tarif:1, tekan:1, teknologi:1, terbarukan:1, waktu:1",25,34
Doc 29,Manajemen energi menjadi pendekatan strategis yang dapat digunakan untuk mengelola konsumsi listrik secara bijak dan efisien.,manajemen energi menjadi pendekatan strategis yang dapat digunakan untuk mengelola konsumsi listrik secara bijak dan efisien,"[manajemen, energi, menjadi, pendekatan, strategis, yang, dapat, digunakan, untuk, mengelola, konsumsi, listrik, secara, bijak, dan, efisien]","[manajemen, energi, pendekatan, strategis, mengelola, konsumsi, listrik, bijak, efisien]","[manajemen, energi, pendekat, strategi, kelola, konsumsi, listrik, bijak, efisien]","bijak:1, efisien:1, energi:1, kelola:1, konsumsi:1, listrik:1, manajemen:1, pendekat:1, strategi:1",9,16
Doc 30,"Manfaat dari penerapan manajemen energi telah terbukti melalui berbagai penelitian dan praktik di negara-negara lain, implementasinya di Indonesia masih menghadapi berbagai tantangan.",manfaat dari penerapan manajemen energi telah terbukti melalui berbagai penelitian dan praktik di negara negara lain implementasinya di indonesia masih menghadapi berbagai tantangan,"[manfaat, dari, penerapan, manajemen, energi, telah, terbukti, melalui, berbagai, penelitian, dan, praktik, di, negara, negara, lain, implementasinya, di, indonesia, masih, menghadapi, berbagai, tantangan]","[manfaat, penerapan, manajemen, energi, terbukti, penelitian, praktik, negara, negara, implementasinya, menghadapi, tantangan]","[manfaat, terap, manajemen, energi, bukti, peneliti, praktik, negara, negara, implementasi, menghadapi, tantang]","negara:2, bukti:1, energi:1, implementasi:1, manajemen:1, manfaat:1, menghadapi:1, peneliti:1, praktik:1, tantang:1, terap:1",11,23
Doc 31,"Oleh karena itu, perlu dilakukan kajian lebih lanjut untuk memahami bagaimana manajemen energi dapat diterapkan secara efektif di sektor rumah tangga di Indonesia.",oleh karena itu perlu dilakukan kajian lebih lanjut untuk memahami bagaimana manajemen energi dapat diterapkan secara efektif di sektor rumah tangga di indonesia,"[oleh, karena, itu, perlu, dilakukan, kajian, lebih, lanjut, untuk, memahami, bagaimana, manajemen, energi, dapat, diterapkan, secara, efektif, di, sektor, rumah, tangga, di, indonesia]","[perlu, kajian, memahami, manajemen, energi, efektif, sektor, rumah, tangga]","[perlu, kaji, paham, manajemen, energi, efektif, sektor, rumah, tangga]","efektif:1, energi:1, kaji:1, manajemen:1, paham:1, perlu:1, rumah:1, sektor:1, tangga:1",9,23
Doc 32,"Melalui kajian literatur ini, penulis bertujuan untuk merangkum dan menganalisis berbagai temuan ilmiah yang berkaitan dengan peran manajemen energi dalam meningkatkan efisiensi konsumsi listrik rumah tangga.",melalui kajian literatur ini penulis bertujuan untuk merangkum dan menganalisis berbagai temuan ilmiah yang berkaitan dengan peran manajemen energi dalam meningkatkan efisiensi konsumsi listrik rumah tangga,"[melalui, kajian, literatur, ini, penulis, bertujuan, untuk, merangkum, dan, menganalisis, berbagai, temuan, ilmiah, yang, berkaitan, dengan, peran, manajemen, energi, dalam, meningkatkan, efisiensi, konsumsi, listrik, rumah, tangga]","[kajian, literatur, penulis, temuan, ilmiah, peran, manajemen, energi, meningkatkan, efisiensi, konsumsi, listrik, rumah, tangga]","[kaji, literatur, penulis, temu, ilmiah, peran, manajemen, energi, tingkat, efisiensi, konsumsi, listrik, rumah, tangga]","efisiensi:1, energi:1, ilmiah:1, kaji:1, konsumsi:1, listrik:1, literatur:1, manajemen:1, penulis:1, peran:1, rumah:1, tangga:1, temu:1, tingkat:1",14,26
